,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,Unnamed: 0,War,Western,\N,endYear,genre,genres,isAdult,new_title,originalTitle,primaryTitle,runtimeMinutes,startYear,tconst,titleType,total,year
4854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345477.0,0.0,1.0,0.0,\N,"['Drama', 'Western']","Drama,Western",0.0,homens com cheiro de flor,Homens Com Cheiro de Flor,Homens Com Cheiro de Flor,90,2011,tt7465674,movie,2.0,2011.0
4855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345491.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,e agora? o trafico de animais silvestres no brasil,E Agora? O Tráfico de Animais Silvestres no Brasil,E Agora? O Tráfico de Animais Silvestres no Brasil,72,2017,tt7466600,movie,1.0,2017.0
4856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345498.0,0.0,0.0,0.0,\N,['Drama'],Drama,0.0,boni bonita,Boni Bonita,Boni Bonita,83,2018,tt7466894,movie,1.0,2018.0
4858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345504.0,0.0,0.0,0.0,\N,['Drama'],Drama,0.0,ferrugem,Ferrugem,Rust,100,2018,tt7467324,movie,1.0,2018.0
4859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345779.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,henfil,Henfil,Henfil,75,2017,tt7487560,movie,1.0,2017.0
4860,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345988.0,0.0,0.0,0.0,\N,"['Crime', 'Drama', 'Mystery']","Crime,Drama,Mystery",0.0,berenice procura,Berenice Procura,Berenice,90,2017,tt7504268,movie,3.0,2017.0
4861,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,346001.0,0.0,0.0,0.0,\N,"['Crime', 'Drama', 'Romance']","Crime,Drama,Romance",0.0,to die of love,To die of love,To die of love,72,2017,tt7504656,movie,3.0,2017.0
4862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346033.0,0.0,0.0,0.0,\N,['Drama'],Drama,0.0,the creature,The Creature,The Creature,75,2017,tt7507124,movie,1.0,2017.0
4863,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346147.0,0.0,0.0,0.0,\N,"['Biography', 'Documentary']","Biography,Documentary",0.0,it's all a plan,It's All a Plan,It's All a Plan,74,2017,tt7514536,movie,2.0,2017.0
4864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346158.0,0.0,0.0,0.0,\N,['Documentary'],Documentary,0.0,manoel bernardino o lenin da mata,Manoel Bernardino: O Lenin da Mata,Manoel Bernardino: O Lenin da Mata,\N,2017,tt7516234,movie,1.0,2017.0
